               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.018352,            0.023235,            0.001616,             0.85424,             0.86344,             0.92896,             0.78094,            0.013211,            0.016282,           0.0009807,            0.008416,            0.008416,            0.008416
                  50,            0.018117,            0.023479,           0.0019659,             0.85228,             0.89179,             0.93436,             0.78497,            0.013212,            0.015653,            0.001559,            0.008383,            0.008383,            0.008383
                  51,            0.018459,            0.023905,           0.0020217,             0.82851,             0.90052,             0.93074,             0.78386,            0.013135,            0.015736,           0.0015987,             0.00835,             0.00835,             0.00835
                  52,            0.018252,            0.023438,            0.002635,             0.81584,             0.90187,              0.9262,             0.77831,            0.013164,            0.015916,           0.0013105,            0.008317,            0.008317,            0.008317
                  53,            0.018434,            0.023209,           0.0020094,              0.8231,             0.89781,             0.92998,             0.78622,             0.01291,            0.015647,           0.0012623,            0.008284,            0.008284,            0.008284
                  54,            0.018636,             0.02397,           0.0019652,             0.82328,             0.88837,             0.92428,               0.778,            0.013014,            0.015947,            0.001595,            0.008251,            0.008251,            0.008251
                  55,            0.018403,            0.023658,           0.0022967,             0.84199,             0.85802,             0.91821,             0.77093,            0.013107,            0.016142,           0.0018806,            0.008218,            0.008218,            0.008218
                  56,            0.017989,            0.023325,           0.0020377,             0.86479,             0.82945,             0.91663,             0.77046,            0.013053,            0.016289,           0.0018748,            0.008185,            0.008185,            0.008185
                  57,            0.018052,            0.022259,           0.0018316,              0.8369,              0.8844,             0.92574,             0.78095,            0.012998,            0.015809,           0.0020449,            0.008152,            0.008152,            0.008152
                  58,            0.018118,            0.023257,           0.0017629,             0.84698,             0.86896,             0.92545,              0.7793,            0.012806,            0.015787,           0.0017847,            0.008119,            0.008119,            0.008119
                  59,            0.018186,            0.022666,            0.002097,             0.83946,             0.86597,             0.92319,             0.78052,            0.012882,            0.016349,           0.0014302,            0.008086,            0.008086,            0.008086
                  60,            0.018053,            0.023284,           0.0015441,             0.82325,             0.87489,             0.91581,             0.77365,            0.012684,            0.015871,           0.0014393,            0.008053,            0.008053,            0.008053
                  61,            0.017657,            0.022706,            0.001711,              0.8087,             0.90304,              0.9201,             0.78227,            0.012839,            0.015942,           0.0015663,             0.00802,             0.00802,             0.00802
                  62,            0.018127,            0.022721,           0.0020328,             0.84503,             0.87599,             0.92682,             0.78119,            0.012868,             0.01584,           0.0012129,            0.007987,            0.007987,            0.007987
                  63,            0.018022,            0.022735,           0.0015276,             0.83982,             0.88259,             0.92271,             0.78218,            0.012686,            0.015962,           0.0016022,            0.007954,            0.007954,            0.007954
                  64,            0.017923,            0.022536,           0.0019296,             0.85305,             0.87307,             0.92883,             0.77913,            0.013047,             0.01612,           0.0016587,            0.007921,            0.007921,            0.007921
                  65,            0.018042,            0.023296,           0.0018236,             0.83406,             0.87424,             0.92553,              0.7819,            0.012957,            0.015898,            0.001831,            0.007888,            0.007888,            0.007888
                  66,            0.017499,            0.022361,           0.0016787,             0.83784,             0.87997,             0.92477,             0.78403,            0.012716,            0.016154,           0.0011881,            0.007855,            0.007855,            0.007855
                  67,            0.017766,            0.022196,           0.0020707,             0.82315,             0.89193,             0.92216,              0.7767,            0.012912,            0.015906,           0.0021317,            0.007822,            0.007822,            0.007822
                  68,            0.017815,            0.023016,           0.0018771,             0.84762,             0.87336,             0.92449,             0.78382,            0.012775,            0.016144,          0.00090773,            0.007789,            0.007789,            0.007789
                  69,            0.017785,            0.022399,           0.0017482,             0.84099,             0.91228,             0.93599,             0.79191,            0.012869,             0.01578,          0.00073065,            0.007756,            0.007756,            0.007756
                  70,            0.017986,            0.022613,            0.001968,             0.83392,             0.89639,             0.92716,             0.78229,            0.012897,            0.015887,           0.0010705,            0.007723,            0.007723,            0.007723
                  71,             0.01746,            0.022896,            0.001946,             0.84079,             0.89736,             0.92738,             0.78441,            0.012849,            0.016011,           0.0012697,             0.00769,             0.00769,             0.00769
                  72,            0.017424,             0.02194,           0.0016689,             0.81683,             0.89481,             0.92223,             0.78105,            0.012815,            0.015966,           0.0010553,            0.007657,            0.007657,            0.007657
                  73,            0.017542,            0.022825,           0.0020411,             0.81988,             0.88921,             0.91901,             0.77659,            0.012745,            0.016252,           0.0013877,            0.007624,            0.007624,            0.007624
                  74,            0.017588,            0.022605,           0.0013434,             0.84074,             0.87559,             0.92316,             0.78327,            0.012593,            0.016314,           0.0010945,            0.007591,            0.007591,            0.007591
                  75,            0.017062,             0.02153,           0.0015481,             0.83937,             0.88786,             0.92778,             0.79023,            0.012721,            0.015744,           0.0010043,            0.007558,            0.007558,            0.007558
                  76,            0.017585,            0.023186,           0.0016453,             0.86308,             0.86356,             0.92531,             0.78557,            0.012809,            0.015895,           0.0012534,            0.007525,            0.007525,            0.007525
                  77,            0.017359,             0.02173,           0.0016698,             0.83234,             0.90041,              0.9254,             0.78429,            0.012758,            0.015989,           0.0013443,            0.007492,            0.007492,            0.007492
                  78,            0.017271,            0.021842,           0.0018266,             0.85469,             0.85991,             0.92484,             0.78151,             0.01279,            0.016148,           0.0012151,            0.007459,            0.007459,            0.007459
                  79,            0.017365,            0.021771,            0.001655,             0.83553,             0.87805,             0.92574,             0.78528,            0.012937,            0.016283,           0.0011703,            0.007426,            0.007426,            0.007426
                  80,            0.017193,            0.021556,           0.0016044,             0.86768,             0.84731,             0.92146,              0.7818,             0.01274,            0.016118,           0.0017095,            0.007393,            0.007393,            0.007393
                  81,             0.01706,            0.021608,           0.0017945,             0.82529,             0.89757,             0.92885,             0.78792,            0.012822,            0.015705,           0.0012947,             0.00736,             0.00736,             0.00736
                  82,            0.017035,            0.021265,           0.0011823,             0.83191,             0.87971,             0.92542,             0.78687,             0.01258,             0.01602,           0.0012175,            0.007327,            0.007327,            0.007327
                  83,             0.01715,            0.021378,           0.0015294,             0.85544,             0.86961,             0.92569,             0.78287,            0.012728,            0.015996,          0.00091901,            0.007294,            0.007294,            0.007294
                  84,            0.016912,            0.021138,           0.0013724,             0.84577,             0.88402,             0.93128,             0.79098,             0.01264,            0.015688,           0.0011076,            0.007261,            0.007261,            0.007261
                  85,            0.017072,            0.021202,           0.0013882,             0.84816,             0.87159,             0.92841,             0.78812,            0.012554,            0.015932,            0.001048,            0.007228,            0.007228,            0.007228
                  86,            0.017161,            0.021794,           0.0011116,             0.82485,             0.86967,             0.91858,             0.78348,            0.012516,            0.016186,           0.0012827,            0.007195,            0.007195,            0.007195
                  87,            0.017446,            0.021788,           0.0019513,              0.8321,             0.87901,             0.92782,             0.78674,            0.012773,            0.015967,           0.0015518,            0.007162,            0.007162,            0.007162
                  88,             0.01713,            0.021596,           0.0017148,             0.82704,             0.87737,             0.92509,             0.78512,            0.012719,            0.016171,           0.0011989,            0.007129,            0.007129,            0.007129
                  89,            0.016877,            0.021993,           0.0018031,             0.83053,             0.89058,               0.925,              0.7826,            0.012635,            0.015918,           0.0013639,            0.007096,            0.007096,            0.007096
                  90,               0.017,            0.021526,           0.0015346,             0.85094,             0.86907,             0.92803,             0.79132,            0.012588,            0.016183,           0.0012459,            0.007063,            0.007063,            0.007063
                  91,            0.016822,            0.021306,           0.0013545,             0.85165,             0.86218,             0.92982,             0.78999,            0.012451,            0.016096,           0.0006584,             0.00703,             0.00703,             0.00703
                  92,            0.016782,             0.02164,           0.0012942,             0.84832,             0.85669,             0.92807,             0.78836,            0.012385,            0.016106,          0.00082406,            0.006997,            0.006997,            0.006997
