               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.024084,            0.024785,           0.0037473,             0.72948,             0.65696,             0.63441,             0.48162,            0.023835,            0.015928,             0.01054,            0.008482,            0.008482,            0.008482
                  48,            0.023914,            0.021699,            0.003409,             0.75153,             0.64164,             0.61543,             0.47428,            0.023512,            0.016686,            0.009623,            0.008449,            0.008449,            0.008449
                  49,            0.025928,            0.023485,           0.0039346,              0.7441,             0.63844,             0.61807,             0.47844,            0.022866,            0.015879,             0.01242,            0.008416,            0.008416,            0.008416
                  50,            0.024798,            0.021926,           0.0038098,             0.70955,             0.63616,             0.61889,             0.47646,            0.022094,            0.015808,            0.011919,            0.008383,            0.008383,            0.008383
                  51,            0.024985,            0.022049,           0.0034632,             0.80217,             0.59307,             0.61926,             0.47206,            0.024594,            0.016127,            0.021296,             0.00835,             0.00835,             0.00835
                  52,            0.024836,            0.023936,            0.003699,             0.72487,             0.63035,             0.60807,             0.47326,            0.022938,             0.01627,            0.011822,            0.008317,            0.008317,            0.008317
                  53,            0.023293,            0.024149,           0.0040499,               0.692,             0.70637,             0.63846,             0.47791,            0.023042,            0.015694,            0.014539,            0.008284,            0.008284,            0.008284
                  54,            0.024115,             0.02269,           0.0034949,             0.77367,             0.60711,               0.631,             0.48084,            0.024791,            0.016053,             0.01582,            0.008251,            0.008251,            0.008251
                  55,            0.023617,             0.02169,           0.0033088,             0.74628,             0.59714,             0.60628,             0.46139,            0.024316,            0.016867,            0.023327,            0.008218,            0.008218,            0.008218
                  56,            0.023492,            0.022316,           0.0032011,             0.75481,             0.65142,             0.63834,             0.48792,            0.025052,            0.016034,            0.012164,            0.008185,            0.008185,            0.008185
                  57,            0.024976,            0.021402,           0.0047165,             0.75345,              0.6154,             0.63981,              0.4866,            0.024653,            0.016039,            0.012571,            0.008152,            0.008152,            0.008152
                  58,            0.022974,            0.022619,            0.004873,             0.76703,             0.63757,             0.64336,             0.48626,            0.023246,            0.016397,            0.012082,            0.008119,            0.008119,            0.008119
                  59,            0.023003,            0.021753,           0.0034613,             0.76214,             0.64129,             0.63668,             0.48605,             0.02348,            0.016207,            0.013929,            0.008086,            0.008086,            0.008086
                  60,            0.023596,            0.022627,           0.0038692,              0.6797,             0.67537,             0.63889,             0.49758,            0.022745,            0.015607,            0.010691,            0.008053,            0.008053,            0.008053
                  61,            0.022958,            0.022422,           0.0032766,             0.67774,             0.61934,             0.61009,             0.47251,            0.023273,            0.015178,            0.023908,             0.00802,             0.00802,             0.00802
                  62,            0.023689,            0.020896,           0.0028927,              0.5844,             0.69429,             0.62836,             0.47939,            0.022935,            0.015777,            0.013422,            0.007987,            0.007987,            0.007987
                  63,            0.024386,             0.02147,            0.003153,             0.68286,             0.68014,             0.66149,             0.50976,            0.022495,            0.015696,           0.0097664,            0.007954,            0.007954,            0.007954
                  64,            0.022232,            0.021691,           0.0028525,              0.7952,               0.629,             0.64802,             0.49757,             0.02259,            0.016376,           0.0094968,            0.007921,            0.007921,            0.007921
                  65,            0.024143,            0.022443,           0.0034604,             0.76545,             0.57489,             0.61937,              0.4609,            0.025167,            0.016058,            0.026135,            0.007888,            0.007888,            0.007888
                  66,            0.023975,            0.020863,           0.0038215,             0.71017,             0.62442,             0.63355,             0.48608,            0.023312,            0.016932,            0.014087,            0.007855,            0.007855,            0.007855
                  67,            0.023197,            0.022029,            0.002636,             0.71661,             0.68031,             0.67927,             0.52286,            0.021627,            0.016067,           0.0077641,            0.007822,            0.007822,            0.007822
                  68,            0.022676,             0.01999,           0.0030759,             0.79239,             0.59428,             0.63854,              0.4952,            0.022799,            0.016556,            0.024911,            0.007789,            0.007789,            0.007789
                  69,             0.02312,            0.020432,           0.0023312,             0.80588,              0.6081,             0.65959,             0.50387,            0.021982,            0.016534,            0.010472,            0.007756,            0.007756,            0.007756
                  70,            0.022601,            0.021709,           0.0023824,              0.7061,             0.70349,             0.67896,             0.52598,            0.022387,            0.016246,           0.0078424,            0.007723,            0.007723,            0.007723
                  71,             0.02314,            0.019958,           0.0029938,              0.8122,             0.62244,             0.64947,             0.50981,            0.022344,            0.016667,            0.013525,             0.00769,             0.00769,             0.00769
                  72,            0.023359,            0.020307,           0.0031227,             0.70405,                0.68,             0.66323,             0.51373,            0.022024,            0.016082,           0.0080401,            0.007657,            0.007657,            0.007657
                  73,            0.022199,            0.020503,           0.0026664,              0.7883,             0.65746,              0.6689,             0.51979,            0.022667,            0.016187,           0.0092624,            0.007624,            0.007624,            0.007624
                  74,            0.022352,            0.020846,           0.0031602,             0.78515,              0.6183,             0.63334,             0.48599,            0.023058,            0.016707,           0.0093233,            0.007591,            0.007591,            0.007591
                  75,             0.02316,            0.020555,           0.0032511,             0.59212,             0.73616,             0.64438,             0.50426,            0.021784,            0.016177,            0.011699,            0.007558,            0.007558,            0.007558
                  76,            0.022204,            0.021543,           0.0025661,             0.76542,             0.66605,              0.6563,             0.51055,            0.021909,            0.016674,           0.0084789,            0.007525,            0.007525,            0.007525
                  77,            0.022387,            0.022652,           0.0026552,              0.7511,             0.64934,             0.67847,             0.52214,            0.022317,            0.016167,           0.0077112,            0.007492,            0.007492,            0.007492
                  78,            0.022536,            0.019615,            0.002498,             0.72922,             0.65102,             0.66695,             0.51369,            0.022638,            0.017187,            0.011711,            0.007459,            0.007459,            0.007459
                  79,            0.021871,            0.020999,             0.00237,             0.62378,              0.7755,             0.70161,             0.53658,            0.022456,            0.015776,            0.016957,            0.007426,            0.007426,            0.007426
                  80,            0.022198,            0.020569,           0.0024333,             0.76697,             0.62608,             0.64854,             0.50286,            0.022621,            0.015711,            0.010008,            0.007393,            0.007393,            0.007393
                  81,            0.021019,            0.021047,           0.0020502,             0.80556,             0.58885,             0.63902,             0.49621,             0.02181,            0.015898,            0.011969,             0.00736,             0.00736,             0.00736
                  82,            0.021233,            0.021133,           0.0022987,             0.67351,              0.7468,              0.6994,             0.54342,            0.021767,            0.016142,           0.0084852,            0.007327,            0.007327,            0.007327
                  83,             0.02211,            0.020109,           0.0021917,             0.74611,             0.65444,             0.65145,             0.50289,            0.022604,            0.016405,           0.0081231,            0.007294,            0.007294,            0.007294
                  84,            0.022041,            0.020297,            0.002074,             0.77402,             0.62123,             0.67111,             0.51405,             0.02191,            0.016974,           0.0084369,            0.007261,            0.007261,            0.007261
                  85,            0.022759,            0.021661,           0.0021613,             0.78531,             0.65175,             0.63054,             0.48497,            0.022483,            0.017619,            0.010183,            0.007228,            0.007228,            0.007228
                  86,            0.022957,             0.01993,           0.0025837,             0.69799,             0.63914,             0.60611,              0.4647,            0.022839,            0.017303,           0.0086794,            0.007195,            0.007195,            0.007195
                  87,            0.021344,            0.020611,           0.0023069,             0.76346,             0.62792,             0.62244,             0.48485,            0.022124,            0.017109,            0.014227,            0.007162,            0.007162,            0.007162
                  88,            0.022409,            0.020605,           0.0020875,             0.73831,             0.62843,               0.696,             0.53649,            0.022761,            0.016301,           0.0090885,            0.007129,            0.007129,            0.007129
                  89,            0.022559,            0.020413,           0.0021351,             0.73125,             0.65515,             0.67791,             0.50266,            0.026352,            0.016393,           0.0094882,            0.007096,            0.007096,            0.007096
                  90,            0.021949,            0.019411,           0.0021712,             0.67099,             0.73714,             0.69792,             0.54043,             0.02263,            0.015982,            0.008278,            0.007063,            0.007063,            0.007063
                  91,             0.02094,            0.021053,           0.0022152,             0.68074,             0.72116,             0.69354,             0.54478,             0.02229,            0.016444,           0.0094453,             0.00703,             0.00703,             0.00703
                  92,            0.020422,             0.01942,           0.0017015,             0.70725,             0.70952,              0.6906,             0.54753,            0.022467,            0.017109,           0.0095088,            0.006997,            0.006997,            0.006997
                  93,             0.02013,            0.018678,           0.0017071,             0.73831,             0.72126,             0.70785,             0.55516,            0.022104,            0.016403,           0.0089478,            0.006964,            0.006964,            0.006964
                  94,            0.020056,            0.020067,            0.002018,             0.74658,             0.66356,             0.66234,              0.5198,            0.022572,            0.017376,            0.014769,            0.006931,            0.006931,            0.006931
                  95,            0.020016,            0.020075,            0.001932,             0.76676,             0.65788,             0.67968,             0.53024,             0.02238,            0.017037,            0.008673,            0.006898,            0.006898,            0.006898
                  96,            0.021103,            0.019513,           0.0022664,             0.78186,              0.6488,             0.66729,             0.51942,            0.021708,            0.016124,            0.012631,            0.006865,            0.006865,            0.006865
                  97,            0.020531,            0.020553,            0.001926,             0.55619,             0.71939,             0.64775,             0.51339,            0.021752,             0.01596,           0.0078386,            0.006832,            0.006832,            0.006832
                  98,            0.020539,            0.020432,           0.0017259,             0.61587,             0.74456,             0.67348,             0.51809,            0.023703,            0.016632,           0.0079769,            0.006799,            0.006799,            0.006799
                  99,            0.020474,            0.020035,           0.0017126,             0.53305,             0.76023,             0.66739,              0.5197,            0.021633,            0.016143,           0.0092186,            0.006766,            0.006766,            0.006766
                 100,            0.022172,            0.021607,           0.0017394,             0.60244,             0.76817,             0.69447,             0.53538,            0.023786,            0.016293,           0.0086584,            0.006733,            0.006733,            0.006733
                 101,            0.021142,            0.018994,           0.0016821,             0.64478,             0.70537,             0.68572,             0.51913,            0.022819,             0.01747,           0.0091247,              0.0067,              0.0067,              0.0067
                 102,            0.020556,            0.019782,           0.0017518,             0.68033,             0.70398,             0.66328,             0.51449,            0.022823,            0.017308,           0.0085739,            0.006667,            0.006667,            0.006667
                 103,            0.020135,            0.018894,           0.0014194,             0.64536,              0.7584,             0.69418,             0.53091,            0.022472,            0.017087,           0.0079737,            0.006634,            0.006634,            0.006634
                 104,            0.020424,            0.018518,           0.0017668,             0.80434,             0.61276,             0.64925,             0.49636,            0.022758,            0.017828,           0.0088611,            0.006601,            0.006601,            0.006601
                 105,            0.019868,            0.019311,           0.0019952,             0.78256,              0.6069,             0.64206,             0.49611,            0.022567,            0.017472,           0.0094584,            0.006568,            0.006568,            0.006568
                 106,             0.01983,             0.01901,           0.0018439,             0.64692,             0.74823,             0.69428,             0.53074,            0.023205,            0.017614,           0.0083606,            0.006535,            0.006535,            0.006535
                 107,            0.021948,            0.019558,           0.0020091,             0.81374,             0.65102,             0.70826,             0.55839,            0.021787,            0.016963,            0.011161,            0.006502,            0.006502,            0.006502
                 108,            0.020189,            0.020104,           0.0015614,             0.55383,             0.77189,             0.66899,             0.51657,            0.023054,            0.016379,            0.011282,            0.006469,            0.006469,            0.006469
                 109,            0.019918,            0.018346,           0.0013862,             0.61904,             0.83275,             0.71065,             0.54981,            0.022542,            0.016845,           0.0093182,            0.006436,            0.006436,            0.006436
                 110,            0.020368,            0.020664,           0.0014548,             0.75693,             0.70781,             0.70836,             0.55441,            0.022299,            0.017509,            0.011018,            0.006403,            0.006403,            0.006403
                 111,            0.019538,            0.019985,            0.001306,             0.77565,             0.71175,             0.70748,             0.54947,            0.022484,            0.017701,           0.0088619,             0.00637,             0.00637,             0.00637
                 112,             0.02079,            0.019195,           0.0018528,             0.61427,             0.68848,             0.66336,             0.51027,            0.023243,             0.01766,            0.019364,            0.006337,            0.006337,            0.006337
                 113,             0.01968,            0.019753,           0.0016391,             0.77688,             0.60462,             0.67184,             0.52294,            0.022313,             0.01706,            0.014968,            0.006304,            0.006304,            0.006304
                 114,            0.019755,             0.01737,           0.0022052,             0.80403,             0.62075,             0.69266,             0.54549,            0.022549,            0.017689,            0.014654,            0.006271,            0.006271,            0.006271
                 115,            0.019622,            0.019204,           0.0017825,             0.65824,             0.72329,             0.69249,             0.54512,            0.022485,            0.017358,           0.0087288,            0.006238,            0.006238,            0.006238
                 116,            0.019497,            0.019337,           0.0019123,             0.65175,             0.70704,             0.67221,             0.52717,            0.022497,            0.017507,           0.0092515,            0.006205,            0.006205,            0.006205
                 117,            0.019829,            0.020136,           0.0018659,             0.59914,             0.78471,             0.67712,             0.53256,            0.022616,            0.016859,            0.010395,            0.006172,            0.006172,            0.006172
                 118,            0.018547,            0.017941,           0.0018395,             0.77331,             0.71913,             0.70689,             0.55474,            0.023182,            0.016933,            0.010055,            0.006139,            0.006139,            0.006139
                 119,            0.019329,            0.019135,           0.0020819,              0.7598,              0.6478,             0.67091,             0.52232,            0.022549,            0.016981,            0.012704,            0.006106,            0.006106,            0.006106
                 120,            0.019513,            0.018386,            0.001905,             0.77372,             0.66795,             0.66672,              0.5115,            0.022587,            0.016852,            0.010842,            0.006073,            0.006073,            0.006073
                 121,            0.020223,            0.019985,           0.0014899,             0.79955,             0.65772,             0.66899,             0.51588,            0.022277,            0.017563,           0.0095657,             0.00604,             0.00604,             0.00604
                 122,            0.019955,            0.019634,           0.0015143,             0.64776,             0.78683,             0.69807,             0.53879,            0.022701,            0.018232,           0.0091956,            0.006007,            0.006007,            0.006007
                 123,            0.018871,            0.018917,           0.0014521,             0.64528,             0.72833,             0.65999,             0.51681,            0.022175,            0.017691,             0.01022,            0.005974,            0.005974,            0.005974
                 124,            0.019954,              0.0174,           0.0012308,             0.78492,             0.66235,              0.6585,             0.51112,            0.022143,            0.017388,           0.0090397,            0.005941,            0.005941,            0.005941
                 125,             0.01955,            0.019705,           0.0014162,             0.61257,             0.70106,             0.64279,             0.49729,            0.023462,            0.017287,            0.016745,            0.005908,            0.005908,            0.005908
                 126,            0.018885,            0.018237,           0.0014296,              0.7152,             0.72025,             0.68895,               0.526,            0.022548,            0.017517,            0.012022,            0.005875,            0.005875,            0.005875
                 127,            0.018748,            0.018192,           0.0013192,             0.76319,             0.62687,             0.64866,             0.49976,            0.022899,            0.018158,            0.011451,            0.005842,            0.005842,            0.005842
                 128,            0.018983,            0.018483,           0.0014772,             0.69836,             0.73609,              0.6934,             0.53273,            0.021779,            0.017496,            0.010602,            0.005809,            0.005809,            0.005809
